Longitude,Latitude,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Title,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long,imagefile,filepath
-73.95312632,40.79656751,40F-PM-1006-01,40F,PM,10062018,1,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9531263214136 40.7965675089932),sq_treewalk.jpeg,images/sq_hihoney.jpeg
-73.95319536,40.79604135,40G-PM-1013-01,40G,PM,10132018,1,Adult,Gray,,Gray+-  ,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,POINT (-73.9531953594918 40.7960413520131),sq_whatsup.jpeg,images/sq_yep.jpeg
-73.95319655,40.7947438,38G-PM-1020-11,38G,PM,10202018,11,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White-  ",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,POINT (-73.9531965469704 40.7947437983977),sq_winterwintner.jpeg,images/sq_winterwintner.jpeg
-73.95320746,40.79346695,37H-PM-1006-06,37H,PM,10062018,6,Adult,Gray,Cinnamon,Gray+Cinnamon- tree ,,Above Ground,40,tree,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9532074573139 40.7934669464908),sq_yep.jpeg,images/sq_yep.jpeg
-73.95321635,40.79829703,42F-PM-1017-04,42F,PM,10172018,4,,Gray,,Gray+-  ,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9532163535175 40.7982970313067),sq_youcaughtme.jpeg,images/sq_youcaughtme.jpeg
-73.95321705,40.79196697,36I-PM-1007-01,36I,PM,10072018,1,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9532170504865 40.7919669739962),sq_zombiewalk.jpeg,images/sq_isthistheparty.jpeg
-73.95324277,40.79626438,40G-PM-1013-04,40G,PM,10132018,4,Adult,Gray,,Gray+-  ,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9532427699097 40.7962643767092),sq_graymajestic.jpeg,images/sq_hmmmf.jpeg
-73.95326201,40.79524755,39G-AM-1018-01,39G,AM,10182018,1,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,dead (something ran over it),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9532620128307 40.7952475548048),sq_heybaby.jpeg,images/sq_littlebeauty.jpeg
-73.95326577,40.79490468,39G-AM-1018-02,39G,AM,10182018,2,Juvenile,Gray,,Gray+- Tree ,,Above Ground,25,Tree,FALSE,FALSE,FALSE,FALSE,FALSE,sitting & watching,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9532657715601 40.7949046809422),sq_hihoney.jpeg,images/sq_hihoney.jpeg
-73.95328047,40.79345793,37H-PM-1006-05,37H,PM,10062018,5,,,,#NAME?,,Above Ground,,tree,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9532804650089 40.7934579333341),sq_hmmmf.jpeg,images/sq_hmmmf.jpeg
-73.95328383,40.79311127,37H-AM-1018-01,37H,AM,10182018,1,Adult,Gray,,Gray+- Right behind fence of the conservatory ,,Ground Plane,FALSE,Right behind fence of the conservatory,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9532838338416 40.7931112674583),sq_whatsup.jpeg,images/sq_whatsup.jpeg
-73.9532873,40.79352033,37H-PM-1006-04,37H,PM,10062018,4,,,,#NAME?,,Above Ground,43,tree,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.953287300494 40.793520326789),sq_youcaughtme.jpeg,images/sq_youcaughtme.jpeg
-73.95329528,40.79200745,36I-AM-1017-08,36I,AM,10172018,8,Adult,Gray,,Gray+-  runs from (me),,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,chasing (#7),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,runs from (me),POINT (-73.95329527631061 40.7920074462622),sq_littlebeauty.jpeg,images/sq_littlebeauty.jpeg
-73.9532966,40.79276446,36I-AM-1017-03,36I,AM,10172018,3,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,Cinnamon stripe on back,Ground Plane,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.953296595236 40.7927644594513),sq_notpleased.jpeg,images/sq_isthistheparty.jpeg
-73.95330859,40.79348779,37H-PM-1006-03,37H,PM,10062018,3,,,,#NAME?,,Above Ground,43,tree,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9533085932603 40.7934877861075),sq_readyformycloseup.jpeg,images/sq_readyformycloseup.jpeg
-73.95331015,40.79386343,38H-AM-1019-01,38H,AM,10192018,1,Adult,Cinnamon,Gray,Cinnamon+Gray-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9533101544112 40.7938634280159),sq_yep.jpeg,images/sq_yep.jpeg
-73.95333195,40.79336479,37H-AM-1018-02,37H,AM,10182018,2,Adult,Gray,,"Gray+- Large tree by (fence of the conservatory) about to climb up busy,ready to climb",,Above Ground,,Large tree by (fence of the conservatory) about to climb up,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"busy,ready to climb",POINT (-73.9533319519277 40.7933647909449),sq_youcaughtme.jpeg,images/sq_youcaughtme.jpeg
-73.9533476,40.79330035,37H-PM-1006-02,37H,PM,10062018,2,Adult,Gray,Cinnamon,Gray+Cinnamon- tree dogs,,Ground Plane,FALSE,tree,TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,dogs,POINT (-73.9533476020736 40.7933003544685),sq_zombiewalk.jpeg,images/sq_isthistheparty.jpeg
-73.95336458,40.79837092,42F-AM-1019-01,42F,AM,10192018,1,Adult,Gray,Cinnamon,Gray+Cinnamon-  runs from (me),,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,runs from (me),POINT (-73.9533645762606 40.7983709215535),sq_hihoney.jpeg,images/sq_hihoney.jpeg
